--, IBI
1187.601237,0.812537
1195.335966,0.531274
1195.851614,0.515649
1205.617686,0.828163
1206.445849,0.828163
1210.586664,0.859414
1211.414827,0.828163
1212.227364,0.812537
1213.071152,0.843789
1213.883690,0.812537
1214.696227,0.812537
1218.868293,0.828163
1219.727707,0.859414
1220.571496,0.843789
1221.384033,0.812537
1226.368636,0.843789
1227.181173,0.812537
1227.978085,0.796911
1232.884559,0.828163
1233.665845,0.781286
1234.462757,0.796911
1235.306545,0.843789
1236.119082,0.812537
1236.900368,0.781286
1237.712905,0.812537
1238.525443,0.812537
1239.322354,0.796911
1240.119266,0.796911
1240.963054,0.843789
1241.744340,0.781286
1242.556877,0.812537
1243.369414,0.812537
1244.181952,0.812537
1244.994489,0.812537
1245.775774,0.781286
1246.588312,0.812537
1247.353972,0.765660
1248.213386,0.859414
1249.041549,0.828163
1249.807209,0.765660
1250.619746,0.812537
1251.463535,0.843789
1252.244821,0.781286
1253.072984,0.828163
1253.885521,0.812537
1254.651181,0.765660
1255.479344,0.828163
1269.995633,0.796911
1270.855047,0.859414
1271.636333,0.781286
1276.433428,0.812537
1277.230339,0.796911
1278.027251,0.796911
1278.808537,0.781286
1279.652325,0.843789
1280.433611,0.781286
1281.214897,0.781286
1282.043060,0.828163
1282.855597,0.812537
1283.636883,0.781286
1284.449420,0.812537
1285.183828,0.734409
1285.965114,0.781286
1286.730774,0.765660
1287.496434,0.765660
1288.293346,0.796911
1289.105883,0.812537
1306.356673,0.796911
1307.153584,0.796911
1311.138141,0.796911
1311.966304,0.828163
1312.794467,0.828163
1313.591379,0.796911
1314.388290,0.796911
1315.216453,0.828163
1316.028990,0.812537
1316.825902,0.796911
1339.936335,0.796911
1360.577904,0.796911
1361.374816,0.796911
1362.187353,0.812537
1362.999890,0.812537
1363.796802,0.796911
1364.562462,0.765660
1365.374999,0.812537
1366.171911,0.796911
1366.984448,0.812537
1367.796985,0.812537
1368.609522,0.812537
1369.437685,0.828163
1376.719268,0.828163
1377.531806,0.812537
1378.328717,0.796911
1379.141254,0.812537
1379.953791,0.812537
1386.344709,0.812537
1387.141620,0.796911
1402.142307,0.890666
1418.752442,0.812537
1419.580605,0.828163
1420.377517,0.796911
1421.190054,0.812537
1421.986965,0.796911
1422.783877,0.796911
1423.565163,0.781286
1424.362074,0.796911
1425.158986,0.796911
1425.940271,0.781286
1426.737183,0.796911
1427.534094,0.796911
1428.331006,0.796911
1429.127917,0.796911
1441.550361,0.781286
1442.316021,0.765660
1443.112932,0.796911
1443.878592,0.765660
1444.644253,0.765660
1445.425538,0.781286
1446.191198,0.765660
1446.956858,0.765660
1447.722518,0.765660
1448.488178,0.765660
1449.269464,0.781286
1450.035124,0.765660
1450.816410,0.781286
1451.582070,0.765660
1452.363356,0.781286
1453.144642,0.781286
1453.925927,0.781286
1454.707213,0.781286
1455.488499,0.781286
1456.269785,0.781286
1457.051070,0.781286
1457.832356,0.781286
1458.598016,0.765660
1459.379302,0.781286
